Sara, 6178791239, 4012888888881881
Lauryn, 6170891629, 4111111111111111
Sabrina, 6178791659, 5105105105105100
Brendan, 8761011909, 5555555555554444
Harrison, 6171791239, 3566002020360505
Shay, 6170001239, 3530111333300000
Shayne, 6175551239, 6011000990139424
Kevin, 6171411239, 6011111111111117
Marissa, 6178299239, 38520000023237
Brenda, 5146161229, 30569309025904
Jake, 1918791800, 5610591081018250
Holden, 6178675309, 378734493671000
Emily, 8885542381, 371449635398431
Will, 9071191239, 378282246310005


